question,answer,category
"How can I contact Airtel Customer Care? (121 for queries / 198 for complaints)","Mobile for queries related to Scheme/Bill Plan/VAS information can dial 121 (chargeable at 50paisa/3 minutes for agent assistance) or Dial 198 (toll-free) for complaints/service requests like Provisioning, Billing & Metering issues, Allocation of Tariff Plan, Account Updation, ISD/STD, Roaming Activation, VAS Deactivation, Service Termination, and Security deposit refund. For activating a Value Added Service, SMS START to 121; for deactivating, SMS STOP to 121. Source: https://www.airtel.in/prepaid-support","support"
"How does Airtel handle complaints/grievances?","Airtel states they aim to resolve complaints at the first point of contact. If you do not get satisfactory resolution, you can get in touch with the Nodal Team using your complaint reference number and grievance details. Working hours mentioned: Monday to Friday, 9:30 am to 6:30 pm. Source: https://www.airtel.in/prepaid-support","support"
"Is Airtel prepaid recharge coupon/balance refundable?","Telecom Consumers Charter highlights that the Airtel Prepaid recharge coupon/balance is non-refundable for cash or non-transferable under any circumstances. Source: https://assets.airtel.in/teams/simplycms/web/docs/Telecom-Consumers-Charter-English-19042022.pdf","prepaid"
"What happens if there is no usage on an Airtel prepaid SIM for 90 days?","Telecom Consumers Charter states service to the SIM may be discontinued if there is no usage (no voice calls, outgoing SMS, and data usage) for a continuous period of 90 days. It also states no refunds will be given for any unused talk time balance and validity on the card after disconnection. Source: https://assets.airtel.in/teams/simplycms/web/docs/Telecom-Consumers-Charter-English-19042022.pdf","prepaid"
"Does prepaid card validity depend on the recharge coupon value?","Telecom Consumers Charter notes Airtel Prepaid Card validity depends on the value of the recharge coupon loaded on the SIM, and Airtel reserves the right to change validity of recharge cards (subject to TRAI regulations) without prior notice. Source: https://assets.airtel.in/teams/simplycms/web/docs/Telecom-Consumers-Charter-English-19042022.pdf","prepaid"
"How do I log a grievance and track resolution timeline?","Airtel's customer grievance document says they will log your concern and provide a Service Request number (complaint registration number), a unique identification number, and a timeline by which it will be resolved via SMS. You can also use the 'Need Help' option on the Airtel website to lodge queries and check complaint status. Source: https://assets.airtel.in/static-assets/home-recast/trai/customer_grievance_english.pdf?icid=footer","support"
"Airtel customer care contacts for mobile services (121 / 198 / email)","The customer grievance document says you can reach Customer Care by calling 121 for queries, sending an email at 121@Airtel.com, and calling 198 (toll-free) for complaints. It also mentions visiting www.Airtel.in. Source: https://assets.airtel.in/static-assets/home-recast/trai/customer_grievance_english.pdf?icid=footer","support"
"What is PV-128 (SUK plan) for Airtel prepaid and when is it mandatory?","Airtel terms mention that for SUK plan / PV-128, for new connection first recharge coupon (FRC) is mandatory for activation. It also states that to avail services after tariff validity period, it is mandatory to recharge with a voucher of minimum Rs. 128 or above. If recharged with PV-128 (or top up voucher > Rs. 128), service validity is extended by 30 days. Source: https://www.airtel.in/terms-conditions/prepaidplanvouchers","prepaid"
"What if I do not recharge with PV-128 after validity ends?","Airtel terms state that if no recharge is done with a voucher of minimum Rs. 128 or above at the end of tariff validity period, then depending on main account balance, Airtel may provide plan benefits in a curtailed manner during a grace period up to 15 days; after the grace period, all services may be suspended. Source: https://www.airtel.in/terms-conditions/prepaidplanvouchers","prepaid"
"My phone says 'Mobile Network Not Available' - what should I try?","Airtel suggests checking if Airplane mode is turned off, verifying/removing and reinserting the SIM card properly, and restarting the phone. It also notes the issue can be due to network outage/coverage or software glitches, so you can also consider updating phone software, resetting network settings, and contacting Airtel/support if the problem continues. Source: https://www.airtel.in/blog/postpaid/how-to-resolve-mobile-network-not-available-issue-on-phone/","network"
"How do I check and pay my Airtel postpaid bill online using Airtel Thanks app?","Airtel's guide describes using the Airtel Thanks app: download the app, log in with your Airtel postpaid number, go to the Manage page to view your postpaid plan/bill info, click 'Pay bill', choose your preferred online payment mode, and after payment completes you receive a notification. Source: https://www.airtel.in/blog/postpaid/check-pay-airtel-postpaid-bill-online/","billing"
"How does Mobile Number Portability (MNP) to Airtel work? (PORT to 1900 / UPC)","TRAI MNP FAQ describes MNP as moving to another operator while keeping your mobile number. It says to generate a UPC by sending SMS from the mobile number to be ported: send the word 'PORT' and the ten-digit mobile number to 1900; the UPC is received via SMS from 1901. It also mentions porting timelines (within licensed service area: 3 working days; between LSAs: 5 working days; some regions up to 15 working days) and that after verification, the number becomes active on the recipient operator with the new SIM. Source: https://www.trai.gov.in/sites/default/files/2024-11/Modified%20MNP%20FAQ%2030.09.2024%20%282%29_0.pdf","porting"
"How do I know my recharge payment history in Airtel app?","Airtel's guide states you can check recharge/transaction history in the Airtel app by going to the 'Transactions' option (from the menu) and viewing recharge details like date/amount/order ID, and offers a 'Download Receipt' option from the receipt pop-up. Source: https://www.airtel.in/blog/airtel-app/how-to-do-recharge-and-check-payment-history-in-airtel-app/","recharge"
