question,answer,category
How do I track my order,Go to demo-corp.com/track and enter your order number,order
What is your return policy,Free returns for 30 days at demo-corp.com/returns,returns
How long does shipping take,Standard shipping is 3-5 business days,shipping
Can I change my shipping address,Contact support within 24 hours of placing your order,shipping
What payment methods do you accept,Visa Mastercard American Express PayPal Apple Pay Google Pay,payment
How do I cancel my order,You can cancel within 1 hour at demo-corp.com/orders,order
Do you offer international shipping,Yes we ship to over 50 countries worldwide,shipping
How do I contact customer support,Email support@demo-corp.com or call 555-123-4567 9AM-5PM EST,support
What is your warranty policy,1 year limited warranty for manufacturing defects,warranty
Can I exchange an item,Yes exchanges allowed within 30 days,returns
